Course,Age at enrollment,Daytime/evening attendance,Area,Caste,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target,Previous Qualification
Other,11,0,Jharkhand,Kallar,0,0,0,1,Female,0,11.5,14.33333333,7.6,2.6,0.32,Enrolled,9
Political Science,11,1,Andaman & Nicobar Islands,St,1,0,0,1,Female,0,11.66666667,13.2,11.1,0.6,2.02,Graduate,6
Psychology,16,1,Tripura,Chawhan,1,0,0,1,Female,1,13.51666667,13.77142857,11.1,0.6,2.02,Graduate,9
Chemistry,14,0,Telangana,Ambalam,0,0,0,1,Female,1,11.5,13.28571429,12.4,0.5,1.79,Graduate,8
Political Science,16,1,Chhattisgarh,Konar,0,0,0,1,Female,1,12.33333333,12.83333333,12.7,3.7,-1.7,Graduate,6
Sociology,15,1,Assam,Paraiyar,0,0,0,1,Female,1,13.66666667,14.16666667,12.4,0.5,1.79,Graduate,8
Psychology,16,1,Telangana,Ambalm,1,0,0,1,Female,1,11.83333333,11.83333333,9.4,-0.8,-3.12,Enrolled,7
Music,11,1,Uttar Pradesh,Gomolu,1,0,0,1,Female,1,14,11,9.4,-0.8,-3.12,Enrolled,8
Computer Science,10,1,Ladakh,Anjari,0,0,0,1,Female,0,14.71428571,15.8,7.6,2.6,0.32,Graduate,6
Other,12,0,Gujarat,Goad,0,0,0,1,Female,0,10.6,11,9.4,-0.8,-3.12,Dropout,7
Psychology,10,1,Tamil Nadu,Nai (Barber),1,0,0,1,Female,0,13.04444444,13.595,15.5,2.8,-4.06,Graduate,8
Sociology,15,1,Arunachal Pradesh,Muslman (Syed),0,0,0,1,Female,0,0,0,12.4,0.5,1.79,Dropout,9
Computer Science,13,1,Chhattisgarh,Satnami,1,0,0,1,Female,0,13,12.9,12.4,0.5,1.79,Dropout,9
Psychology,11,1,Dadra & Nagar Haveli,Basade,1,0,0,1,Female,0,14.935,14.935,9.4,-0.8,-3.12,Graduate,9
Physics,15,1,Haryana,Vasudev,1,0,0,1,Female,0,0,0,7.6,2.6,0.32,Enrolled,9
Psychology,14,1,Madhya Pradesh,Paingam,0,0,0,1,Female,0,13.13333333,12.22142857,16.2,0.3,-0.92,Graduate,9
Political Science,14,1,Chandigarh,Varma,0,0,0,1,Female,1,12,12,13.9,-0.3,0.79,Graduate,9
Physics,14,1,Andhra Pradesh,"Badai (Khati, Carpenter)",1,0,0,1,Male,1,0,0,10.8,1.4,1.74,Enrolled,6
English,16,1,Andaman & Nicobar Islands,Chaman,1,0,0,1,Male,0,11.4,10,10.8,1.4,1.74,Enrolled,7
English,16,1,Punjab,Gupta,0,0,0,1,Male,0,0,0,12.7,3.7,-1.7,Enrolled,8
Psychology,15,1,Meghalaya,Sahu (Oilman),1,0,0,1,Male,0,11.9,11,13.9,-0.3,0.79,Dropout,8
Physics,15,1,Chandigarh,Kol,1,0,0,1,Male,1,0,0,10.8,1.4,1.74,Graduate,8
Biology,16,1,Manipur,Van Nair,1,0,0,1,Male,0,12.57142857,12.42857143,8.9,1.4,3.51,Graduate,8
Economics,10,1,Sikkim,Murg,0,0,1,1,Male,0,11.2,10.75,16.2,0.3,-0.92,Dropout,6
Sociology,10,1,Meghalaya,Vellar,0,0,0,1,Male,0,12,10.8,12.7,3.7,-1.7,Enrolled,7
Economics,11,1,Gujarat,Akamow Door,0,0,0,1,Male,0,0,0,7.6,2.6,0.32,Enrolled,9
Psychology,14,1,Tripura,Konavar,0,0,0,1,Male,0,11.975,13.75,13.9,-0.3,0.79,Graduate,6
Physics,10,1,Arunachal Pradesh,Gada,1,0,0,1,Male,0,0,0,15.5,2.8,-4.06,Dropout,7
Sociology,11,1,Orissa,Dhoby,1,0,0,1,Male,0,11.66666667,12,12.4,0.5,1.79,Dropout,9
Music,10,1,Goa,Thakur,1,0,0,1,Male,0,12.33333333,12.33333333,10.8,1.4,1.74,Graduate,9
Economics,11,1,Delhi,Dhimer,1,0,1,1,Male,0,10.33333333,10.85714286,10.8,1.4,1.74,Dropout,7
Sociology,11,1,Mizoram,Kumhar (Potter),1,0,0,1,Male,1,10.5,11,9.4,-0.8,-3.12,Dropout,8
Music,14,1,Karnataka,"Badai (Khati, Carpenter)",1,0,1,1,Male,1,13.66666667,13.33333333,8.9,1.4,3.51,Graduate,9
Psychology,14,1,Orissa,Kahi,0,0,0,1,Male,1,14.84285714,15.05555556,16.2,0.3,-0.92,Graduate,8
Chemistry,12,0,Karnataka,Padaiachi,0,0,0,1,Male,0,12,11.66666667,10.8,1.4,1.74,Graduate,8
Foreign Language,16,1,Haryana,Velalar,1,0,0,1,Male,0,12.2,12.2,10.8,1.4,1.74,Dropout,9
Other,15,0,Tamil Nadu,Guvati,1,0,0,1,Male,0,0,0,10.8,1.4,1.74,Dropout,9
Biology,13,1,Uttaranchal,Lular,0,0,1,1,Male,0,12.16666667,13.3,12.4,0.5,1.79,Dropout,8
Sociology,16,1,Pondicherry,F.C.,0,0,0,1,Male,0,12,11.33333333,12.7,3.7,-1.7,Enrolled,9
Chemistry,16,0,Orissa,Katnatam,1,0,0,1,Female,0,11,11,9.4,-0.8,-3.12,Graduate,9
Psychology,11,1,Himachal Pradesh,Panika,1,0,0,1,Female,1,13.08,13.08,10.8,1.4,1.74,Graduate,6
Art,13,1,West Bengal,Gadaria,0,0,0,1,Female,1,10.5,11.6,9.4,-0.8,-3.12,Graduate,8
English,16,1,Dadra & Nagar Haveli,Serva,1,0,0,1,Male,0,10.66666667,11.2,7.6,2.6,0.32,Graduate,7
Economics,16,1,Delhi,Murg,1,0,0,1,Male,0,14,13.8,11.1,0.6,2.02,Enrolled,8
Geography,13,1,Gujarat,Bania,1,0,1,1,Male,0,10,0,15.5,2.8,-4.06,Enrolled,9
Psychology,15,1,Madhya Pradesh,Kumbhi,0,0,0,1,Male,0,0,0,13.9,-0.3,0.79,Dropout,7
Music,10,1,Assam,Barber/Nai,1,0,0,0,Female,0,14,13.5,8.9,1.4,3.51,Graduate,6
Computer Science,13,1,Mizoram,Marer,0,0,0,1,Female,0,12,0,8.9,1.4,3.51,Dropout,6
Foreign Language,13,1,Tripura,Dada Achi,0,0,0,1,Female,0,12.66666667,0,7.6,2.6,0.32,Dropout,7
Chemistry,13,0,Kerala,Jasodi,0,0,0,1,Female,0,11.875,12.33333333,12.7,3.7,-1.7,Graduate,6
Geography,13,1,Kerala,Adiwari,1,0,0,1,Male,0,14,13.25,13.9,-0.3,0.79,Enrolled,6
Music,10,1,Assam,Kalar,1,0,0,1,Female,0,13.66666667,13.33333333,8.9,1.4,3.51,Graduate,8
Psychology,13,1,Chhattisgarh,Sikhi,1,0,0,1,Female,1,13.75,14.47777778,12.4,0.5,1.79,Graduate,9
History,14,1,Jammu & Kashmir,Dhimer,1,0,0,1,Female,0,14.2,13.8,12.7,3.7,-1.7,Enrolled,9
Psychology,13,1,West Bengal,Pal,1,0,1,0,Female,0,11.96,0,13.9,-0.3,0.79,Dropout,6
History,10,1,Dadra & Nagar Haveli,Kachhi,0,0,0,1,Female,0,12.875,13.4,8.9,1.4,3.51,Dropout,9
Physics,12,1,Gujarat,Katnatam,1,0,0,1,Female,0,0,0,16.2,0.3,-0.92,Graduate,8
Chemistry,12,0,Rajasthan,Sai Teli,1,0,0,1,Female,0,0,0,9.4,-0.8,-3.12,Dropout,8
Biology,11,1,Haryana,Sudhar,0,0,0,1,Female,0,14.63157895,14.23076923,15.5,2.8,-4.06,Graduate,8
Foreign Language,11,1,Arunachal Pradesh,Harjan,1,0,0,1,Female,0,0,0,11.1,0.6,2.02,Dropout,7
English,15,1,Ladakh,Konavar,0,0,1,1,Female,0,13,12.27272727,11.1,0.6,2.02,Graduate,8
Political Science,10,1,Jammu & Kashmir,S.C.,1,0,0,1,Female,0,0,0,16.2,0.3,-0.92,Dropout,7
History,12,1,Ladakh,Schtlear,1,0,0,1,Female,0,14.2,13.25,15.5,2.8,-4.06,Dropout,6
Psychology,11,1,Chhattisgarh,Kumhar (Potter),1,0,0,1,Female,0,13.26666667,12.3,12.4,0.5,1.79,Dropout,6
Foreign Language,10,1,Meghalaya,Kali,1,0,0,1,Female,0,11.66666667,13,16.2,0.3,-0.92,Enrolled,9
Political Science,15,1,Goa,Chettiar,1,0,0,1,Female,0,13.85714286,15,13.9,-0.3,0.79,Graduate,9
Economics,14,1,Manipur,Kachhi,1,0,0,1,Female,1,13,11,8.9,1.4,3.51,Enrolled,7
History,14,1,Tripura,Kurmi,1,0,0,1,Female,0,13.4,12.8,10.8,1.4,1.74,Graduate,6
Music,10,1,Jharkhand,Nisad,1,0,0,1,Female,0,12.66666667,12.57142857,10.8,1.4,1.74,Graduate,6
Psychology,13,1,Maharashtra,Cristan,1,0,0,1,Female,0,12.51666667,12.51666667,7.6,2.6,0.32,Dropout,9
Psychology,14,1,Orissa,Thevar,0,0,0,1,Female,0,11.61666667,13,13.9,-0.3,0.79,Enrolled,7
Political Science,15,1,Assam,Tshima Miar,1,0,0,1,Female,1,10,10.75,7.6,2.6,0.32,Enrolled,6
Economics,13,1,Arunachal Pradesh,Dhobi (Washerman),0,0,0,1,Female,0,10.33333333,10.66666667,12.4,0.5,1.79,Enrolled,6
History,14,1,Arunachal Pradesh,Vinta,0,0,0,1,Female,0,13.14285714,11.4,9.4,-0.8,-3.12,Graduate,9
Economics,13,1,West Bengal,Ambacam,0,0,0,1,Female,0,12.6,14,11.1,0.6,2.02,Graduate,6
Sociology,13,1,West Bengal,Vellar,1,0,0,1,Female,0,11,11,9.4,-0.8,-3.12,Dropout,7
Economics,14,1,Tamil Nadu,Kali,1,0,0,1,Female,0,10.8,11.25,16.2,0.3,-0.92,Graduate,7
Physics,13,1,Maharashtra,Nai (Barber),0,0,0,1,Female,0,0,0,10.8,1.4,1.74,Dropout,7
Art,10,1,Karnataka,Saildar,0,0,0,1,Female,1,12.8,14.2,9.4,-0.8,-3.12,Graduate,8
History,10,1,Jammu & Kashmir,Vallalam,1,0,0,1,Female,0,14.16666667,12.2,15.5,2.8,-4.06,Graduate,8
Physical Education,12,1,Telangana,Vashnav,1,0,0,1,Female,0,12.1,0,13.9,-0.3,0.79,Dropout,7
History,12,1,Rajasthan,Satnami,1,0,0,1,Female,0,14.16666667,13.77777778,12.4,0.5,1.79,Graduate,8
Foreign Language,10,1,Haryana,Nadar,1,0,0,1,Female,1,12.8,13.4,9.4,-0.8,-3.12,Enrolled,6
Political Science,10,1,Orissa,Dada Achi,1,0,0,1,Female,0,13,13.66666667,12.4,0.5,1.79,Graduate,7
Psychology,16,1,Uttaranchal,Yadav,1,0,0,1,Female,0,13.46714286,15.01111111,12.4,0.5,1.79,Graduate,6
Psychology,10,1,Goa,Bhaina,1,0,0,1,Female,1,13.2375,13.74285714,13.9,-0.3,0.79,Dropout,6
English,14,1,Ladakh,Thevar,1,0,0,1,Female,0,12.33333333,13,7.6,2.6,0.32,Graduate,9
Economics,10,1,Madhya Pradesh,Gahatra,1,0,0,1,Female,0,12.4,14.6,8.9,1.4,3.51,Graduate,8
Psychology,10,1,Daman & Diu,Pathan,1,0,0,1,Female,0,14,0,13.9,-0.3,0.79,Dropout,8
Political Science,10,1,Telangana,Sudhar,0,0,0,1,Female,0,11.66666667,11.71428571,7.6,2.6,0.32,Graduate,9
Art,13,1,Rajasthan,Pantaram,0,0,1,0,Female,1,12,12.5,12.4,0.5,1.79,Dropout,7
Art,14,1,Punjab,Ahir,1,0,0,1,Female,0,12.2,11.5,7.6,2.6,0.32,Graduate,8
Music,11,1,Lakshadweep,Kali,0,0,1,1,Female,1,14.83333333,14.83333333,8.9,1.4,3.51,Graduate,8
Psychology,10,1,Goa,Gada,0,0,0,1,Female,1,13.188,12.89285714,11.1,0.6,2.02,Enrolled,7
Psychology,10,1,Andaman & Nicobar Islands,Varua,0,0,0,1,Female,0,17.125,17.5875,13.9,-0.3,0.79,Graduate,7
Psychology,15,1,Haryana,Jaiswal,1,0,0,1,Female,0,12.66666667,12.66666667,7.6,2.6,0.32,Graduate,9
Music,10,1,Bihar,Vashnav,1,0,0,1,Female,1,12.66666667,12,12.4,0.5,1.79,Graduate,6
Economics,14,1,Uttaranchal,Sudhar,1,0,1,0,Female,0,0,0,8.9,1.4,3.51,Enrolled,8
Political Science,16,1,Tamil Nadu,Ambalm,1,0,0,1,Female,1,11.33333333,11.5,12.4,0.5,1.79,Graduate,9
Psychology,16,1,Sikkim,Bhaina,1,0,0,1,Female,1,13.605,12.33125,15.5,2.8,-4.06,Graduate,8
Foreign Language,16,1,Chandigarh,Munaliar,1,0,0,1,Female,1,12,10.8,9.4,-0.8,-3.12,Graduate,9
Sociology,16,1,Chandigarh,Satnami,1,0,0,1,Female,0,0,0,7.6,2.6,0.32,Dropout,9
Sociology,12,1,Madhya Pradesh,Varma,1,0,0,1,Female,0,11.2,11.66666667,7.6,2.6,0.32,Dropout,9
Economics,11,1,Maharashtra,Thevar,0,0,0,1,Female,0,13.375,14.16666667,13.9,-0.3,0.79,Graduate,6
Psychology,12,1,Goa,Rathor,0,0,0,1,Female,1,13.86333333,14.17857143,11.1,0.6,2.02,Graduate,6
Physics,15,1,Jammu & Kashmir,Iyar,1,0,0,1,Female,0,0,0,9.4,-0.8,-3.12,Enrolled,8
History,11,1,Haryana,Thevar,0,0,0,1,Female,0,12.4,13.4,7.6,2.6,0.32,Graduate,7
Foreign Language,12,1,Meghalaya,Pathan,1,0,0,1,Female,0,12.33333333,10.83333333,9.4,-0.8,-3.12,Enrolled,8
Foreign Language,12,1,Manipur,Manigaicr,1,0,0,1,Female,0,13.33333333,11.8,7.6,2.6,0.32,Graduate,9
Foreign Language,11,1,Haryana,Lular,1,0,0,1,Female,0,12.66666667,10,9.4,-0.8,-3.12,Dropout,8
Foreign Language,13,1,Jammu & Kashmir,Asari,0,0,0,1,Female,0,12,11.5,7.6,2.6,0.32,Dropout,7
Economics,13,1,Punjab,Darji (Tailor),0,0,0,1,Female,1,10.6,11.8,12.4,0.5,1.79,Graduate,8
Political Science,15,1,Haryana,Rautasvam,1,0,0,1,Female,1,12.25,11.85714286,12.7,3.7,-1.7,Graduate,8
Political Science,12,1,Assam,Dhimer,1,0,0,1,Female,0,11,11.83333333,9.4,-0.8,-3.12,Graduate,6
Chemistry,11,0,Chandigarh,Vinta,0,0,0,1,Female,1,11,12.6,11.1,0.6,2.02,Graduate,6
Art,13,1,Karnataka,Dada Achi,0,0,0,1,Female,0,13.16666667,13,10.8,1.4,1.74,Dropout,7
Psychology,14,1,Bihar,Gada,1,0,0,1,Female,1,12.85555556,12.76111111,15.5,2.8,-4.06,Graduate,8
Psychology,14,1,Andhra Pradesh,Kurma,1,0,0,1,Female,0,14.91875,15.355,15.5,2.8,-4.06,Graduate,8
Foreign Language,16,1,Himachal Pradesh,Chaman,1,0,0,1,Female,0,11.5,11,10.8,1.4,1.74,Dropout,6
Art,16,1,Nagaland,Cheltian,0,0,0,1,Female,0,14.2,14.2,7.6,2.6,0.32,Graduate,6
Music,14,1,Tripura,Serva,0,0,0,1,Female,1,12.5,13,15.5,2.8,-4.06,Graduate,8
Biology,13,1,Assam,Chawhan,0,0,1,1,Female,0,0,0,8.9,1.4,3.51,Enrolled,6
Political Science,10,1,Lakshadweep,Pr/Sc,0,0,0,1,Female,0,11.66666667,11,13.9,-0.3,0.79,Graduate,8
Psychology,11,1,Assam,Chettiar,0,0,0,1,Female,0,14.25714286,14.25714286,12.7,3.7,-1.7,Graduate,7
Political Science,14,1,Goa,Kumbhi,1,0,0,1,Female,0,12,11.33333333,16.2,0.3,-0.92,Dropout,7
History,10,1,Nagaland,Asari,1,0,0,1,Female,0,11.25,10.5,12.7,3.7,-1.7,Enrolled,9
Physical Education,12,1,Sikkim,Muredhia,0,0,0,1,Female,0,12.45714286,13.5625,15.5,2.8,-4.06,Graduate,7
Psychology,14,1,West Bengal,Marer,1,0,0,1,Female,0,11.68333333,11.68333333,7.6,2.6,0.32,Graduate,8
Chemistry,14,0,Tripura,Van Nair,0,0,0,1,Female,0,11.66666667,12,9.4,-0.8,-3.12,Graduate,9
Sociology,12,1,Telangana,Verma,1,0,1,0,Female,0,11.75,13.16666667,11.1,0.6,2.02,Dropout,6
Art,14,1,Goa,Iyar,1,0,0,1,Female,1,11.66666667,13.5,7.6,2.6,0.32,Enrolled,9
Foreign Language,11,1,Pondicherry,Sikhi,0,0,0,1,Female,0,13.2,12,7.6,2.6,0.32,Graduate,9
Psychology,16,1,Lakshadweep,Nayar,1,0,0,1,Female,0,11.95,11.95,7.6,2.6,0.32,Dropout,6
Foreign Language,16,1,Assam,Asari,1,0,0,1,Female,0,12.4,10.4,9.4,-0.8,-3.12,Dropout,6
Psychology,11,1,Chandigarh,Goad,0,0,0,1,Female,0,14.35,14.58333333,16.2,0.3,-0.92,Dropout,7
Foreign Language,14,1,Tamil Nadu,Dilai,1,0,0,1,Female,0,12.61904762,12.78947368,12.4,0.5,1.79,Graduate,6
Other,13,0,Ladakh,Asrai,0,0,0,1,Female,1,12.66666667,13.16666667,9.4,-0.8,-3.12,Enrolled,9
Music,11,1,Kerala,Darji (Tailor),0,0,1,0,Female,0,12,0,11.1,0.6,2.02,Dropout,9
English,14,1,Gujarat,Ahir,1,0,0,0,Female,0,12.16666667,0,15.5,2.8,-4.06,Dropout,7
Sociology,14,1,Manipur,Cheetamdr,0,0,0,1,Female,0,0,0,11.1,0.6,2.02,Dropout,9
Economics,11,1,Uttaranchal,Naidu,1,0,1,0,Female,0,10,10.57142857,10.8,1.4,1.74,Dropout,6
Political Science,16,1,Ladakh,Kol,0,0,1,0,Female,0,11.5,10,9.4,-0.8,-3.12,Enrolled,7
Psychology,12,1,Nagaland,Bhil,1,0,0,1,Female,1,13.05,13.05,7.6,2.6,0.32,Graduate,7
History,10,1,Gujarat,Asooy,1,0,0,1,Female,0,11,0,8.9,1.4,3.51,Dropout,8
English,15,1,Assam,Kunval,1,0,0,1,Female,0,11.5,12,16.2,0.3,-0.92,Graduate,6
Sociology,13,1,Meghalaya,Kali,0,0,0,1,Female,1,12,12.5,13.9,-0.3,0.79,Graduate,8
Chemistry,16,0,Lakshadweep,Harjan,0,0,0,1,Female,0,10,10,9.4,-0.8,-3.12,Enrolled,9
Economics,14,1,Mizoram,Brahmin,1,0,0,1,Female,0,0,0,7.6,2.6,0.32,Dropout,9
Foreign Language,11,1,Telangana,Velalar,0,0,0,1,Female,0,0,0,12.4,0.5,1.79,Dropout,8
Psychology,10,1,Meghalaya,Yadav,1,0,0,1,Female,0,12.24285714,12.24285714,12.7,3.7,-1.7,Graduate,6
Other,14,0,Meghalaya,Kurma,1,0,0,1,Female,0,0,0,8.9,1.4,3.51,Dropout,6
Psychology,13,1,Orissa,Kewamkat,1,0,0,1,Female,0,12.93375,12.93375,9.4,-0.8,-3.12,Graduate,9
Geography,16,1,Pondicherry,Pillaimor,0,0,0,1,Female,0,0,0,13.9,-0.3,0.79,Dropout,9
Foreign Language,11,1,Maharashtra,Manigaicr,0,0,0,1,Female,0,12.57142857,14.42857143,11.1,0.6,2.02,Graduate,7
Psychology,16,1,Jammu & Kashmir,Satnami,0,0,0,1,Female,0,11.81666667,11.33333333,11.1,0.6,2.02,Enrolled,6
History,12,1,Arunachal Pradesh,Kunval,1,0,0,1,Female,0,13.75,14.33333333,10.8,1.4,1.74,Graduate,8
Political Science,10,1,Dadra & Nagar Haveli,Asrai,1,0,0,1,Female,0,11.16666667,11.33333333,7.6,2.6,0.32,Graduate,7
Psychology,10,1,Madhya Pradesh,Rajput,1,0,0,1,Female,0,12.32428571,12.32428571,10.8,1.4,1.74,Graduate,7
Political Science,12,1,Uttaranchal,Rathor,0,0,1,1,Female,0,12.16666667,11.71428571,13.9,-0.3,0.79,Graduate,7
Political Science,13,1,Andhra Pradesh,Bangali,0,0,0,1,Female,1,11.14285714,11.25,16.2,0.3,-0.92,Graduate,8
Political Science,11,1,Andhra Pradesh,Basod,1,0,0,1,Female,0,11,10.75,7.6,2.6,0.32,Graduate,9
Psychology,13,1,Rajasthan,Konavar,1,0,0,1,Female,0,12.91428571,12.91428571,12.7,3.7,-1.7,Graduate,9
Music,15,1,Kerala,Rawat,1,0,0,1,Female,1,13.83333333,14.16666667,16.2,0.3,-0.92,Graduate,7
History,10,1,Meghalaya,Bhil,1,0,0,1,Female,0,13.85714286,13.4,13.9,-0.3,0.79,Graduate,9
Sociology,14,1,Uttaranchal,Chettiar,0,0,0,1,Female,1,13.71428571,12.8,16.2,0.3,-0.92,Dropout,9
Psychology,12,1,Telangana,Kushwaha,1,0,0,1,Female,1,12.64285714,12.64285714,12.7,3.7,-1.7,Graduate,8
Psychology,12,1,Pondicherry,Kewet,0,0,0,1,Female,1,12.91666667,12.91666667,7.6,2.6,0.32,Graduate,9
Computer Science,12,1,Haryana,Ambalm,1,0,0,1,Female,1,15.625,15.85714286,13.9,-0.3,0.79,Graduate,7
Other,16,0,Uttaranchal,Konar,0,0,0,1,Female,1,0,0,16.2,0.3,-0.92,Dropout,6
Music,10,1,Chandigarh,Sai Teli,0,0,0,1,Female,0,11.71428571,12,7.6,2.6,0.32,Graduate,9
Physical Education,14,1,Sikkim,Padaiachi,0,0,0,1,Female,0,12.125,13.3125,15.5,2.8,-4.06,Enrolled,9
Economics,11,1,Lakshadweep,Banjara,1,0,0,1,Female,1,11.6,11.6,12.4,0.5,1.79,Graduate,9
Chemistry,10,0,Madhya Pradesh,Asrai,1,0,0,1,Female,0,10,0,9.4,-0.8,-3.12,Dropout,6
Chemistry,10,0,Telangana,Ahir,0,0,0,1,Female,1,10,0,8.9,1.4,3.51,Dropout,6
History,16,1,Jharkhand,Bhil,0,0,0,1,Female,0,0,13.5,7.6,2.6,0.32,Dropout,9
Economics,12,1,Andaman & Nicobar Islands,Mehteer,0,0,0,1,Female,1,13,12.33333333,9.4,-0.8,-3.12,Graduate,8
